generation,mse_best,mse_median,k_mlp,k_proteins,k_total,k_mlp_ratio,fitness_best,fitness_median,age_max,threshold,n0_sat,n1_sat,n2_sat,n3_sat,n4_sat,n5_sat,n6_sat,n7_sat
88,0.008710529655218124,0.01272791251540184,0,1,1,0.0,-0.0008710529655218124,-0.0012891689548268914,9,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
89,0.008710529655218124,0.012485768646001816,0,1,1,0.0,-0.0008710529655218124,-0.0012692593736574054,10,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
90,0.008710529655218124,0.012400167062878609,0,1,1,0.0,-0.0008710529655218124,-0.0012478844728320837,11,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
91,0.008710529655218124,0.012439428828656673,0,1,1,0.0,-0.0008710529655218124,-0.0012453860836103559,12,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
92,0.008710529655218124,0.01233939453959465,0,1,1,0.0,-0.0008710529655218124,-0.0012396746315062046,13,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
93,0.007875557988882065,0.01230419147759676,0,1,1,0.0,-0.0008710529655218124,-0.0012346886796876788,14,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
94,0.008710529655218124,0.012011059559881687,0,1,1,0.0,-0.0008710529655218124,-0.0012098043225705624,15,0.95,0.0,0.07000000029802322,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
95,0.008299657143652439,0.011442193761467934,0,1,1,0.0,-0.0008586609619669616,-0.0011685348581522703,16,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
96,0.008257887326180935,0.011305108666419983,0,1,1,0.0,-0.0008257887093350291,-0.001137666404247284,17,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
97,0.008257887326180935,0.010901035740971565,0,1,1,0.0,-0.0008257887093350291,-0.0011086894664913416,18,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
98,0.0070040239952504635,0.010901035740971565,0,1,1,0.0,-0.0008257887093350291,-0.001098967855796218,19,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
99,0.006743056699633598,0.01056190300732851,0,1,1,0.0,-0.0008257887093350291,-0.0010915810707956553,20,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
100,0.008257887326180935,0.010640464723110199,0,1,1,0.0,-0.0008257887093350291,-0.0010860778857022524,21,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
101,0.008257887326180935,0.010287042707204819,0,1,1,0.0,-0.0008257887093350291,-0.0010555037297308445,14,0.95,0.0,0.07000000029802322,0.07999999821186066,0.0,0.019999999552965164,0.0,0.03999999910593033,0.0
102,0.0070700920186936855,0.010082327760756016,0,1,1,0.0,-0.0007070092251524329,-0.0010285144671797752,15,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
103,0.0070700920186936855,0.010146044194698334,0,1,1,0.0,-0.0007070092251524329,-0.0010269987396895885,16,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
104,0.0070700920186936855,0.010082327760756016,0,1,1,0.0,-0.0007070092251524329,-0.0010213155765086412,17,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
105,0.0070700920186936855,0.009940838441252708,0,1,1,0.0,-0.0007070092251524329,-0.0010090786963701248,18,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
106,0.0070700920186936855,0.00965805072337389,0,1,1,0.0,-0.0007070092251524329,-0.0009971443796530366,19,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
107,0.0070700920186936855,0.009679825976490974,0,1,1,0.0,-0.0007070092251524329,-0.0009794346988201141,20,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
108,0.0070700920186936855,0.009696412831544876,0,1,1,0.0,-0.0007070092251524329,-0.0009696413180790842,21,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
109,0.0070700920186936855,0.009545179083943367,0,1,1,0.0,-0.0007070092251524329,-0.0009632237488403916,22,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
110,0.0070700920186936855,0.009362595155835152,0,1,1,0.0,-0.0007070092251524329,-0.0009955043205991387,23,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
111,0.0070700920186936855,0.009396241046488285,0,1,1,0.0,-0.0007070092251524329,-0.0010564710246399045,24,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
112,0.0070700920186936855,0.009461641311645508,0,1,1,0.0,-0.0007070092251524329,-0.000999302021227777,25,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
113,0.0069075762294232845,0.009438540786504745,0,1,1,0.0,-0.0007070092251524329,-0.0009656409965828061,26,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
114,0.0070700920186936855,0.009396241046488285,0,1,1,0.0,-0.0007070092251524329,-0.0009438541019335389,27,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
115,0.006375187076628208,0.009396241046488285,0,1,1,0.0,-0.0007070092251524329,-0.00102916918694973,28,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
116,0.0070700920186936855,0.009364446625113487,0,1,1,0.0,-0.0007070092251524329,-0.0009396240930072963,29,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
117,0.0070700920186936855,0.009261351078748703,0,1,1,0.0,-0.0007070092251524329,-0.0009333437774330378,30,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
118,0.0070700920186936855,0.00911852065473795,0,1,1,0.0,-0.0007070092251524329,-0.0009226903785020113,31,0.95,0.0,0.07999999821186066,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
119,0.006509365979582071,0.008897727355360985,0,1,1,0.0,-0.0006905660266056657,-0.0008988563204184175,32,0.95,0.0,0.05999999865889549,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
120,0.006014538928866386,0.008881215006113052,0,1,1,0.0,-0.0006905660266056657,-0.0008941231062635779,33,0.95,0.0,0.05999999865889549,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
121,0.006509365979582071,0.008897727355360985,0,1,1,0.0,-0.0006905660266056657,-0.0008897726656869054,34,0.95,0.0,0.05999999865889549,0.07000000029802322,0.0,0.03999999910593033,0.0,0.029999999329447746,0.0
122,0.006509365979582071,0.008821610361337662,0,1,1,0.0,-0.0006852637743577361,-0.0008859848021529615,35,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.03999999910593033,0.0,0.03999999910593033,0.0
123,0.006509365979582071,0.008769565261900425,0,1,1,0.0,-0.0006852637743577361,-0.000882161024492234,36,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.03999999910593033,0.0,0.03999999910593033,0.0
124,0.006125812418758869,0.008723171427845955,0,1,1,0.0,-0.0006852637743577361,-0.0008769565029069781,37,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.03999999910593033,0.0,0.03999999910593033,0.0
125,0.00555670028552413,0.00860527716577053,0,1,1,0.0,-0.0006019342108629644,-0.0008667237707413733,38,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.029999999329447746,0.0,0.05000000074505806,0.0
126,0.00555670028552413,0.008630137890577316,0,1,1,0.0,-0.0006019342108629644,-0.0009100178722292185,31,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.029999999329447746,0.0,0.05000000074505806,0.0
127,0.00555670028552413,0.00854608416557312,0,1,1,0.0,-0.0005972037906758487,-0.0008569557685405016,32,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
128,0.00555670028552413,0.008482987061142921,0,1,1,0.0,-0.0005972037906758487,-0.0008891348843462765,32,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
129,0.00555670028552413,0.008507829159498215,0,1,1,0.0,-0.0005972037906758487,-0.0008546084281988442,33,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
130,0.005075746215879917,0.008379556238651276,0,1,1,0.0,-0.0005972037906758487,-0.0008535171509720385,34,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
131,0.00555670028552413,0.008295158855617046,0,1,1,0.0,-0.0005972037906758487,-0.0008449455490335822,35,0.95,0.0,0.05999999865889549,0.07999999821186066,0.0,0.019999999552965164,0.0,0.029999999329447746,0.0
